CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
275880,31-Dec-20,16,3,0,15,0,72,36,22,6
276720,NONE,2,0,0,0,0,0,49,30,12
277135,31-Dec-20,37,16,1,5,3,83,42,26,9
277509,"December 31, 2020",24,6,1,24,1,44,23,15,2
277948,31-Dec-20,10,6,0,8,1,41,41,25,12
278166,28-Mar-20,36,2,0,12,0,12,17,11,12
310142,31-Dec-20,3,1,0,1,1,3,14,9,5
310158,31-Dec-20,53,2,0,26,0,227,13,8,10
310354,30-Jun-20,18,2,1,16,1,95,21,13,3
310764,31-Dec-20,31,4,1,9,3,120,12,8,10
311094,31-Dec-20,17,0,0,8,0,12,45,29,11
313143,3/28/2020,24,13,0,14,2,133,12,8,10
313364,NONE,7,0,0,10,0,18,48,29,11
313616,"December 31, 2020",31,10,0,18,1,109,38,23,6
313927,31-Dec-20,37,6,1,33,0,116,9,6,5
314203,"December 31, 2020",29,0,0,17,0,24,27,17,12
314489,"December 31, 2020",51,1,0,5,0,39,45,29,11
314808,31-Dec-20,23,5,0,38,1,149,30,19,4
315131,30-Sep-20,11,0,0,12,0,18,30,19,4
315189,1-Nov-20,1,6,0,10,2,101,21,13,3
315213,31-Dec-20,17,0,0,4,0,83,34,22,12
315374,31-Oct-20,26,1,0,21,1,121,38,23,6
315709,"December 31, 2020",3,0,1,2,0,19,45,29,11
315852,"December 31, 2020",8,1,0,19,1,61,30,19,4
315858,December 31,113,0,8,17,0,15,45,29,11
